LAT,LONG,SP_GROUP,AGE,P0,BA,D,H,N,YEAR,FOREST_TYPE,VOLUME
59.9,23.5,1,47,1342.9325,17.99862209,20.04079907,14.2499834,570.5836323,2010,4,126.9614701
60,23.4,2,37,1342.9325,41.33980848,19.64427768,15.07743372,1363.975125,2010,1,301.0881431
60.1,23.6,1,34,1313.6175,33.95560011,18.90811564,13.5062009,1209.274875,2010,2,229.0502734
60.2,24.5,1,112,1277.6475,15,26.025,15.9392611,281.9810357,2010,7,115.1621211
60.2,23,2,60,1294.6725,36.23864383,24.82837736,18.76818323,748.4889275,2010,3,319.1195444
60.3,23.9,1,23,1315.755,14.20767968,9.402784746,7.38082014,2046.069057,2010,3,59.13551523
60.3,25.2,1,105,1289.42,40.7501851,17.96640221,12.90392426,1607.375959,2010,3,264.6744561
60.3,25.4,2,52,1301.9675,42.50334543,19.94518263,15.30090094,1360.370478,2010,3,313.6104315
60.3,23.2,1,45,1260.6475,26.76494312,21.66449099,15.35298271,726.0716235,2010,2,200.9812298
60.4,23.4,1,128,1233.365,37.14124328,25.80962136,18.27441667,709.9099926,2010,3,323.1026334
60.4,23.6,1,83,1233.365,15.06984448,21.7379331,15.38153075,406.0526914,2010,7,113.3288073
60.4,24.5,1,63,1242.0075,36.69575795,13.67959108,10.12500321,2496.776973,2010,4,195.4325712
60.4,26.2,1,36,1340.21,34.66082075,11.93000218,8.998929275,3100.758298,2010,3,168.0386978
60.4,22.7,1,70,1284.535,27.35054153,26.70479047,18.82460563,488.3123391,2010,3,243.9004112
60.5,23.6,4,18,1218.0825,3.531622865,11.29512621,10.01705155,352.4538532,2010,3,16.92286516
60.5,24,4,53,1217.58,19.74443603,19.41230454,15.48712508,667.1149301,2010,4,138.6859403
60.5,24.5,1,193,1198.7425,13,25.88571429,15.2282302,247.0205954,2010,7,95.82477639
60.5,24.7,2,67,1206.5025,37.3234857,26.53542045,20.00878725,674.9014611,2010,2,347.3286284
60.5,21.4,1,101,1405.395,17.03379895,20.45780656,14.43714815,518.2072683,2010,5,121.431768
60.5,25.4,2,59,1234.37,26.8546606,20.73938638,15.83190615,794.946646,2010,2,203.9983929
60.5,25.8,2,67,1244.5525,33.93178328,32.31883696,24.35282013,413.6236434,2010,2,373.5964302
60.5,27.5,1,40,1294.7075,30.36245992,9.839416043,7.694193852,3993.083799,2010,4,130.4098799
60.5,25.4,1,73,1234.37,36.02649514,15.90715963,11.55943396,1812.787315,2010,4,213.6873502
60.6,24.7,2,57,1206.5025,39.07252065,25.12513954,18.979952,788.0696154,2010,2,347.4092599
60.6,24.5,1,59,1198.7425,33.13446611,25.05131449,17.8915,672.2472864,2010,3,283.2931508
60.6,24.9,2,49,1198.6675,31.83039617,18.58388828,14.33312255,1173.488913,2010,2,221.8596577
60.6,25.1,2,50,1202.7175,34.00468809,18.4178433,14.22734836,1276.354656,2010,3,235.5428074
60.6,25.2,2,49,1202.7175,17.68686384,21.12438342,16.09447135,504.6530102,2010,3,136.2659906
60.6,25.6,1,22,1218.7575,22.06240606,18.65250404,13.34504137,807.3999288,2010,4,147.3484658
60.6,25.6,1,44,1218.7575,21.08361909,22.09340324,15.63473192,549.9586555,2010,2,160.751936
60.6,26.2,1,31,1247.91,28.92402349,15.17601208,11.05303831,1599.018531,2010,2,165.3684601
60.6,26.9,1,19,1247.29,5.197510351,7.576707849,6.246473343,1152.774599,2010,2,19.16400021
60.6,27.3,1,34,1260.265,35.27412362,13.01931282,9.693024444,2649.660474,2010,3,181.3985923
60.6,22.1,1,35,1296.165,35.56029745,15.70623283,11.41893701,1835.403017,2010,4,208.81116
60.7,22.7,1,89,1235.435,27.24896941,24.20599624,17.09276664,592.1261986,2010,4,223.9750289
60.7,22.9,1,39,1225.6325,17.44556624,16.64845268,12.02393911,801.396491,2010,5,106.8754941
60.7,23.6,1,40,1189.9075,8.259646333,11.48178111,8.681496468,797.7247093,2010,7,38.9267056
60.7,23.4,2,54,1202.7225,43.65404559,19.90777845,15.494,1402.455269,2010,2,326.9301389
60.7,24,1,63,1173.5525,38.12583069,15.00509447,10.97965371,2156.01593,2010,4,216.826738
60.7,24,1,50,1173.5525,40.3468714,17.60356664,12.67094252,1657.748506,2010,4,258.1320054
60.7,24.9,1,54,1198.6675,21.36095686,19.41719616,13.84562187,721.3695157,2010,4,147.1055105
60.7,24.9,1,37,1198.6675,7.290828836,8.235468126,6.688979519,1368.706847,2010,5,28.22858363
60.7,25.1,1,44,1202.7175,8.390609865,12.33798454,9.230304558,701.802973,2010,6,41.49836914
60.7,26.4,1,53,1237.6275,27.89769352,22.48965598,15.98206667,702.2840307,2010,3,216.7388408
60.7,27.1,1,36,1255.255,42.29427168,19.65546288,14.02872716,1393.879137,2010,3,294.5058137
60.7,27.8,2,83,1245.38,40.51260241,18.26099997,14.12650851,1546.860498,2010,3,278.9426991
60.7,28,1,43,1250.855,28.90056529,21.68144458,15.37570567,782.7805508,2010,4,217.297046
60.7,27.3,2,70,1234.465,33.64600746,17.90246935,13.87340272,1336.650232,2010,3,228.0505845
60.7,27.3,4,56,1234.465,38.88316145,30.45451933,23.62511111,533.7872409,2010,1,394.5754672
60.7,21.8,1,35,1328.57,19.31556551,10.04445961,7.792075137,2437.610952,2010,4,83.75471251
60.8,22.7,2,58,1225.5025,24.41668723,24.01565841,18.16601223,539.023703,2010,3,208.9784114
60.8,23.8,1,50,1168.0725,24.84918389,26.46955879,18.68628571,451.5739119,2010,3,220.2395915
60.8,21.4,1,96,1374.8775,28.04169154,26.33034366,18.53426049,514.9929354,2010,3,246.7721712
60.8,24.7,2,134,1183.68,51.44176309,30.93150248,23.82119048,684.5795656,2010,2,560.2382982
60.8,21.4,1,44,1374.8775,24.09817679,15.70876603,11.39646969,1243.397993,2010,4,141.2648426
60.8,25.6,1,25,1184.5575,28.33174824,11.44111825,8.687097089,2755.792689,2010,3,133.6048097
60.8,25.8,2,101,1191.175,26.99495137,32.76103956,24.66828877,320.2412851,2010,3,300.3722574
60.8,26.9,1,29,1225.3275,37.20022673,17.01296996,12.27513992,1636.422473,2010,3,231.8278802
60.8,27.3,1,49,1234.465,31.65877728,23.97472785,16.94405711,701.2887696,2010,3,258.3211507
60.8,27.5,1,52,1238.7525,19.37264504,19.72189082,14.04509041,634.1645178,2010,3,135.0137502
60.8,27.8,1,26,1224.97,21.33175348,12.07431997,9.071741718,1862.99339,2010,3,104.0708913
60.8,21.6,1,60,1333.19,32.82165317,18.63251788,13.34294596,1203.725545,2010,4,219.1869483
60.8,21.6,1,76,1333.19,40.6965308,25.14101489,18.55813636,819.7886423,2010,3,359.7149279
60.8,21.8,1,20,1309.6825,3.745798375,16.28561494,11.71664722,179.8233945,2010,4,22.45821773
60.8,27.1,1,31,1228.98,28.50106265,15.70613568,11.40903713,1471.067097,2010,4,167.2343128
60.8,27.3,1,48,1234.465,26.44449699,20.30197599,14.44044503,816.899837,2010,4,188.6330893
60.8,27.8,1,25,1224.97,6.173231118,14.36926297,10.49884211,380.674398,2010,3,33.84550512
60.8,21.8,1,117,1309.6825,20.02401966,31.67729352,22.30580668,254.0769364,2010,4,206.0730276
60.9,22,1,63,1271.285,11.36846846,17.26318567,12.4196593,485.702341,2010,5,71.53035985
60.9,22.5,1,136,1236.3825,16.51442444,28.53364169,20.05017404,258.2611938,2010,4,155.2991954
60.9,24,2,20,1160.785,10.4634978,20.4991642,15.6384778,317.0404661,2010,2,78.60681442
60.9,24.2,1,108,1164.0075,8.875450368,25.2790907,17.77144502,176.8388257,2010,4,75.37167941
60.9,24.5,1,28,1169.5075,28.13316822,15.6172135,11.34113552,1468.661352,2010,2,164.264929
60.9,24.7,1,76,1170.31,36.1613066,30.94602147,21.856,480.7780014,2010,3,365.9026802
60.9,25.1,1,41,1173.395,34.24617124,20.33974404,14.47915594,1053.977102,2010,3,244.8443092
60.9,21.6,2,63,1314.985,34.81950829,21.45646558,16.3547785,962.9780413,2010,3,272.1467368
60.9,27.6,1,23,1202.34,14.35379467,23.813095,13.16288889,322.2887597,2010,3,93.45534292
60.9,27.6,1,62,1202.34,20.1995211,20.23044059,14.40271091,628.4062699,2010,5,143.7770374
60.9,28.5,2,94,1220.5575,25.84829352,29.74808692,22.37453568,371.8980592,2010,3,264.6859878
60.9,26,4,41,1181.3875,31.66794732,8.925863952,8.468587598,5060.920396,2010,1,131.9329218
60.9,26.2,1,49,1190.2175,31.39784059,20.77011086,14.76383986,926.6852912,2010,4,228.1675252
60.9,27.1,1,43,1207.8275,18.98211419,22.42591225,15.86835319,480.5675734,2010,4,146.5499994
60.9,27.3,1,96,1212.6575,48.99337885,31.36983901,22.48568182,633.9031803,2010,3,508.4318819
60.9,27.8,4,58,1206.055,43.71972098,22.8325521,17.86553846,1067.772141,2010,2,348.2014812
61,22,2,64,1268.615,42.74305193,20.35041452,15.5885489,1314.102154,2010,3,320.5337843
61,22,2,68,1268.615,47.72521374,27.35009327,20.62259754,812.3447485,2010,3,455.9379784
61,22.7,1,12,1224.79,3.00466075,24.44087976,9.8,64.04303328,2010,5,15.15872751
61,22.9,1,29,1209.875,22.49566446,12.83136818,9.552763204,1739.654524,2010,3,114.3390929
61,23.1,1,66,1189.845,18.06036211,14.3109925,10.51720409,1122.786195,2010,5,99.17793471
61,23.4,4,71,1164.925,43.05528211,20.37563992,16.28915385,1320.425928,2010,3,316.7773824
61,23.4,1,39,1164.925,30.27324955,24.30568869,17.16079719,652.4591069,2010,3,249.668046
61,23.6,1,104,1159.83,24.95607401,14.47869058,10.62379942,1515.750811,2010,5,138.1694946
61,24,2,74,1157.78,21.60987833,21.69646411,16.53364854,584.5000002,2010,3,170.5295102
61,24.7,2,69,1154.23,35.13056288,27.17084747,20.47651691,605.8831269,2010,2,333.4962622
61,21.6,4,83,1303.1,31.2437545,25.78797086,20.04563281,598.1897865,2010,3,275.2583271
61,25.3,1,27,1169.8025,22.87172121,15.33792651,11.1594529,1237.87178,2010,3,131.7926113
61,26.7,2,21,1185.375,30.90254702,7.760912837,7.064497147,6532.490439,2010,2,120.6762984
61.1,26.5,1,100,1170.7775,33.62501066,28.66139054,20.21964286,521.1683522,2010,4,318.561532
61.1,27.3,1,43,1173.655,13.39344973,9.718553227,7.606867757,1805.507661,2010,7,57.02972728
61.1,27.8,1,81,1194.35,32.78073145,32.56782246,23.0185,393.5059603,2010,3,346.5325439
61.1,21.8,2,58,1279.4325,39.03759855,17.21227119,13.40139565,1677.709842,2010,4,256.8285372
61.1,22,1,45,1253.8575,19.59504028,23.38476878,16.51701369,456.2365967,2010,3,156.4690592
61.1,23.5,1,47,1162.4075,34.89314452,19.80265698,14.22866667,1132.930577,2010,3,245.9558069
61.1,23.8,1,40,1155.6675,28.5246223,16.58628998,11.99117576,1320.175027,2010,4,174.3609952
61.1,23.8,1,43,1155.6675,30.57108916,21.85072915,15.49259591,815.2469128,2010,3,231.3266547
61.1,24.4,2,71,1155.4875,31.82899537,20.10835961,15.40034771,1002.258534,2010,2,236.1084204
61.1,24.9,2,81,1143.2225,49.68950574,30.46329032,22.95970489,681.7437679,2010,2,520.5217079
61.1,24.7,2,60,1142.8125,34.23924076,24.73335453,18.6986615,712.636724,2010,3,300.5429376
61.2,27.8,2,67,1184.8575,38.24721706,23.81500392,18.03326063,858.6351131,2010,2,325.3426858
61.2,28.9,2,43,1191.63,37.58144005,13.89202224,11.1391579,2479.434252,2010,2,211.1241017
61.2,28.9,2,62,1191.63,21.02008683,19.35146158,14.8606169,714.6889709,2010,3,151.1501661
61.2,21.8,1,107,1277.6275,46.17996254,24.89494938,17.60257143,948.7268676,2010,3,389.1649212
61.2,25.8,2,30,1159.4275,20.75037081,18.45721373,14.22970797,775.5391,2010,2,143.6856082
61.2,26.4,1,63,1154.6475,39.56870993,16.55124781,11.98446596,1839.079601,2010,4,241.7725361
61.2,27.3,1,48,1167.18,38.63303088,20.42427501,14.58408333,1179.167771,2010,4,277.9345694
61.2,21.8,1,13,1277.6275,4.179395091,12.07058147,9.010299569,365.2306055,2010,3,20.27705673
61.2,22.4,1,148,1218.5625,19.27443796,26.25609408,18.41231496,355.9849207,2010,4,168.6290175
61.2,22.4,2,62,1218.5625,38.17616785,16.5778795,12.96739868,1768.660565,2010,3,244.1520355
61.2,23.1,1,26,1172.37,23.53194838,11.84197032,8.929003342,2136.58448,2010,3,113.381457
61.2,23.3,1,117,1162.4075,18.21476001,25.51335278,17.91259605,356.2857918,2010,4,155.7065746
61.2,23.5,2,104,1157.0875,44.71701066,32.60038378,24.56851851,535.7195019,2010,3,496.0324729
61.2,24.2,2,57,1148.435,22.77983173,18.63910306,14.3588055,834.8541513,2010,2,158.9848184
61.2,24.2,2,34,1148.435,1.286676302,28.58480224,19.46808703,20.04975348,2010,3,11.31854522
61.2,29.1,4,110,1185.5,20.49066983,26.77248946,20.74872698,363.9894211,2010,2,185.9166067
61.3,29.1,1,58,1173.26,15.0933383,15.96278449,11.57665625,754.185406,2010,5,89.62774624
61.3,21.5,2,75,1344.0225,25.36623385,16.83325003,13.12586308,1139.803961,2010,3,163.8765655
61.3,25.1,1,34,1136.79,34.94782685,13.62966004,10.08734801,2395.301832,2010,3,185.5625751
61.3,26.7,1,120,1147.705,28.61802937,30.63544922,21.58314464,388.2409472,2010,3,286.4602012
61.3,21.5,2,99,1344.0225,40.69344832,21.76045483,16.55197915,1094.204949,2010,3,321.2790815
61.3,25.8,4,103,1155.6425,34.69492572,23.4696101,22.22835714,801.9814648,2010,2,352.3192243
61.3,26.7,1,40,1147.705,23.7412342,15.0177341,10.95874722,1340.307938,2010,4,134.7960604
61.3,26.9,1,27,1152.3475,8.809861121,9.423847742,7.389911337,1263.056154,2010,3,36.70196718
61.3,27.6,1,153,1167.1475,29.3676951,10.82545061,8.304585459,3190.715007,2010,4,133.7272525
61.3,22.2,1,72,1225.0725,22.11079058,23.63496279,16.70081693,503.9698367,2010,4,178.2207282
61.3,22.4,1,37,1225.0725,37.76487857,14.34253579,10.54168721,2337.471514,2010,3,207.7787147
61.3,22.6,2,65,1207.9925,23.89401819,18.17081959,14.04663994,921.4043866,2010,3,163.6592939
61.3,22.9,1,22,1175.6225,18.48216431,15.45099053,11.21464539,985.7125659,2010,2,106.9219445
61.3,22.6,1,41,1207.9925,24.48146831,20.48848144,14.56578834,742.5539949,2010,3,175.8987955
61.3,23.3,2,76,1166.8975,36.67377814,27.62131118,20.81003282,612.0363138,2010,2,353.0237901
61.3,23.5,1,29,1157.0875,12.12922797,18.41419986,13.16113389,455.4467134,2010,3,80.07022768
61.3,24.4,1,114,1143.505,24.8224725,28.02854454,19.71540345,402.3037344,2010,3,230.1462612
61.4,29.1,2,46,1163.9875,23.61810714,29.16670262,21.94476256,353.4927734,2010,2,237.8913252
61.4,25.1,4,94,1138.18,36.07657447,26.1665559,20.35521429,670.8760458,2010,3,322.2129817
61.4,25.1,2,24,1138.18,4.128842376,19.20055409,14.72384738,142.5971673,2010,2,29.43524479
61.4,27.1,1,115,1152.8525,31.22956855,20.59202978,14.63206574,937.7299511,2010,4,225.2357802
61.4,27.8,1,49,1210.47,23.84113476,16.83151016,12.14122759,1071.49679,2010,4,147.228328
61.4,28.9,4,46,1165.1025,39.61590453,16.61521563,13.54239999,1827.122776,2010,1,246.9837685
61.4,27.1,1,22,1152.8525,7.27432458,8.360996305,6.749029579,1324.911077,2010,3,28.34625032
61.4,22.2,1,80,1213.33,19.96427819,15.3094883,11.16495461,1084.532026,2010,5,115.0954298
61.4,22.6,1,93,1194.475,46.10855118,31.7090506,22.62744444,583.8820397,2010,2,480.8497539
61.5,24.6,2,83,1139.2075,37.32832362,21.11970449,16.15505882,1065.547785,2010,3,288.8590445
61.5,28.9,1,58,1161.0725,21.14475352,19.58399837,13.96067741,701.9562042,2010,3,146.6282188
61.5,26.2,4,72,1135.0125,23.90173429,28.77302971,22.4884,367.593941,2010,2,233.1138106
61.5,26.9,2,49,1137.7475,20.32152805,21.83438643,16.63209492,542.7308332,2010,2,161.1926026
61.5,27.8,1,56,1176.9675,39.82292978,24.64266324,17.41346796,834.9645599,2010,3,332.5280911
61.5,26.9,2,79,1137.7475,42.57236422,28.36358316,21.36928009,673.7762511,2010,2,419.3025284
61.5,22.1,1,37,1225.42,22.02215079,18.72051255,13.37500811,800.08178,2010,3,147.3460292
61.5,22.8,1,140,1166.19,32.62779302,28.83793821,20.4312,499.5390037,2010,3,311.9520931
61.5,22.6,2,64,1183.2825,39.51547401,19.67020357,15.10400715,1300.348034,2010,3,288.2856041
61.5,23,2,100,1155.7675,43.51111074,25.33248945,19.12272451,863.2857009,2010,3,389.3380979
61.6,24.2,4,34,1144.5,13.21256664,15.68900894,12.92178827,683.4492765,2010,2,79.02950382
61.6,29.1,2,79,1166.305,37.77949899,20.95745179,16.04708333,1095.189727,2010,2,290.6889213
61.6,29.6,2,30,1164.6025,18.40482054,21.25937709,16.18892594,518.4902988,2010,1,142.517026
61.6,24.6,1,62,1139.2075,27.78281929,27.59753754,19.44537861,464.4572723,2010,1,254.6403211
61.6,28.9,1,145,1188.0575,51.09592951,32.78345648,23.17872414,605.3226724,2010,3,543.3280322
61.6,26.9,1,51,1135.7125,18.10152405,10.36049274,8.017535914,2147.160154,2010,5,80.22500225
61.6,28.7,2,51,1160.685,37.67803318,14.33880996,11.44659283,2333.308297,2010,3,216.6259308
61.6,25.3,2,74,1139.8125,25.66952457,25.49334873,19.24939046,502.8913553,2010,2,231.0417181
61.7,24.2,1,39,1122.6675,21.08174402,14.7004058,10.75114586,1242.104134,2010,4,117.8471487
61.7,23.9,1,27,1129.025,24.0244676,10.94705661,8.372318243,2552.520054,2010,3,110.0836536
61.7,24,2,52,1129.025,27.39824976,20.33419889,15.55732937,843.682041,2010,3,205.0310315
61.7,29.8,2,48,1159.505,30.34871742,23.69601991,17.93885319,688.1761989,2010,2,256.9459072
61.7,29.8,1,108,1159.505,35.76231321,32.62271548,23.02825462,427.8539091,2010,3,378.1426692
61.7,29.8,4,43,1159.505,31.25796244,13.00740201,11.13848552,2352.283475,2010,3,164.1231545
61.7,28.7,1,31,1163.82,37.91163872,14.64652003,10.74478827,2250.161947,2010,3,211.8460031
61.7,21.7,1,134,1274.92,33.7110309,25.30178125,17.8174301,670.4709395,2010,3,286.9384222
61.7,22.6,1,26,1155.04,26.79917149,12.84126324,9.571155,2069.264413,2010,4,136.4271778
61.7,22.8,1,55,1141.315,16.82390174,12.4128679,9.301254856,1390.248947,2010,5,83.72070724
61.8,26.1,2,38,1126.02,29.6186084,20.53734273,15.70121646,894.1003538,2010,3,223.4284851
61.8,23.7,4,52,1118.9175,20.93668959,12.71813201,10.95510898,1648.054144,2010,3,108.3634627
61.8,23.7,2,70,1118.9175,21.05174418,20.07277601,15.36680038,665.2476139,2010,3,155.8429192
61.8,24.6,1,130,1107.36,41.76143013,28.44048698,20.216,657.372337,2010,4,395.8205946
61.8,29.6,4,24,1160.8375,6.336736714,11.40884975,10.08482993,619.8577848,2010,3,30.5381057
61.8,29.4,1,43,1174.1125,39.07453493,15.68841669,11.43356391,2021.369483,2010,4,229.7094061
61.8,29.4,1,59,1174.1125,44.20505096,24.90534353,19.43592857,907.3961685,2010,3,407.9442042
61.8,29.6,2,43,1160.8375,32.67339113,9.176132191,7.991715579,4940.660449,2010,2,140.0343096
61.8,28.5,1,42,1175.795,18.64427112,19.11236361,13.68000579,649.8703607,2010,3,127.1321244
61.8,28.9,1,60,1190.4,29.99162294,21.34380237,15.15303624,838.2363775,2010,4,222.7598049
61.8,28,1,34,1132.0975,42.22563441,19.55675212,13.9612051,1405.70063,2010,1,292.8435477
61.8,28.3,2,43,1141.11,39.72039122,16.31564303,12.78476574,1899.83221,2010,2,250.9358325
61.8,27.4,2,59,1115.21,34.27771857,24.73834711,18.69650691,713.1496435,2010,2,300.8219025
61.8,21.9,1,106,1228.2175,20.35692063,16.05095771,11.59119265,1006.051704,2010,4,120.9897221
61.8,21.9,1,38,1228.2175,25.46408796,14.37172832,10.5456494,1569.712971,2010,4,140.1362717
61.8,22.8,2,79,1124.7575,24.19611333,24.69523325,18.65707553,505.1605923,2010,3,211.9291391
61.9,29.8,1,25,1155.2575,19.75157803,11.64825935,8.803137203,1853.488321,2010,4,94.11105515
61.9,23,4,49,1092.3825,41.08110921,20.48980766,16.21821507,1245.880867,2010,1,300.4996958
61.9,25,1,29,1104.42,26.74010398,13.96204256,10.28543199,1746.526966,2010,3,144.2168931
61.9,25.3,1,72,1124.155,22.68118405,24.17397037,17.07408749,494.1739755,2010,4,186.2603021
61.9,25.3,1,60,1124.155,17.43146314,19.75041245,14.07769065,568.9729524,2010,5,121.7268936
61.9,26.1,4,35,1117.59,20.68806175,25.06159385,17.4956,419.3846662,2010,1,157.4847638
61.9,23.2,2,97,1095.475,15.60560909,26.01761024,19.58422943,293.5323933,2010,3,142.4574959
61.9,23.5,1,64,1092.725,24.01366983,15.2068419,11.09183276,1322.180027,2010,4,137.6965886
61.9,23.7,1,31,1100.73,22.01013596,13.44091156,9.94663467,1551.227149,2010,3,115.5474426
61.9,25,1,28,1104.42,9.126280414,11.66380933,8.783564575,854.1282855,2010,4,43.40439635
61.9,25.3,2,51,1124.155,41.06734046,21.84764794,16.63133075,1095.462006,2010,2,325.6794724
61.9,26.1,2,14,1117.59,2.769609176,26.12816423,10.66756484,51.6548154,2010,2,12.66987937
61.9,26.4,1,34,1120.3025,31.78066514,20.25192832,14.41154087,986.5982438,2010,2,226.3210596
61.9,29.6,4,42,1160.8275,17.59141838,10.89915363,9.753103136,1885.495184,2010,2,82.39980095
61.9,24.4,1,25,1102.0575,8.636999649,10.51444699,8.066111644,994.7183943,2010,4,38.45085959
61.9,28.7,4,25,1180.145,17.27436634,9.988830763,9.161172472,2204.362093,2010,1,76.76948829
61.9,28.5,1,72,1151.4675,16.14355569,19.57213906,13.95939872,536.5778355,2010,4,111.9416865
61.9,27.1,2,27,1117.305,21.30039414,12.40545637,10.10607122,1762.269266,2010,2,110.2064535
61.9,27.3,2,61,1114.985,44.03635649,22.09395216,16.81472783,1148.615516,2010,3,352.6155765
61.9,27.6,4,21,1110.6325,19.20946065,9.514670206,8.85781124,2701.704281,2010,2,83.02392306
61.9,22.1,1,70,1179.93,21.72954182,17.22422648,12.40305513,932.5695549,2010,4,136.5756188
62,22.6,1,64,1121.58,18.73456694,7.667139368,6.377947625,4057.766589,2010,4,70.11204884
62,22.6,4,70,1121.58,36.45267759,18.29042143,14.69193939,1387.369455,2010,3,244.2972016
62,23.2,1,32,1095.475,14.29493985,16.16072239,11.68592619,696.9007161,2010,4,85.53764169
62,23.5,1,35,1087.3875,6.404491935,16.66050598,11.97999976,293.7774305,2010,2,39.10976193
62,29.8,1,108,1142.345,50.09532206,30.47291518,21.71631579,686.8774928,2010,3,504.547591
62,23.7,1,44,1093.1275,15.46552037,20.12365963,14.31204936,486.2512491,2010,3,109.4931069
62,25.3,1,34,1119.3325,20.110597,12.49362012,9.339649297,1640.432966,2010,4,100.3994778
62,25.3,2,21,1119.3325,20.1158515,14.07907753,11.24352833,1292.111936,2010,3,113.8465413
62,26.3,1,24,1105.8775,18.33978703,8.212169735,6.688098233,3462.490356,2010,4,71.0035118
62,29.4,4,23,1141.72,30.09942774,10.34991235,9.391319636,3577.626624,2010,2,136.5636242
62,24.4,2,80,1102.6625,46.50195531,24.97638023,18.95526316,949.1226522,2010,3,413.5700061
62,29.2,1,46,1152.6925,35.68790263,22.31264824,15.81523933,912.7017985,2010,3,274.7750955
62,29.2,1,83,1152.6925,21.97340016,26.35089249,18.58471001,402.9180516,2010,4,193.8420659
62,27.6,2,73,1105.2075,36.28963103,22.5355295,17.12032664,909.8234742,2010,1,295.1150231
62,28.3,1,87,1142.7075,46.69550398,29.48942879,21.00084211,683.6793538,2010,3,457.1469958
62,28.7,1,41,1172.3875,38.02384154,23.5618026,16.69244444,872.065456,2010,3,306.4055314
62,29,2,61,1145.7925,37.51599107,26.85344655,20.24883496,662.4093815,2010,3,352.7626143
62,21.8,2,86,1224.0425,17.22073781,23.75548459,17.9590115,388.5385231,2010,4,145.8847344
62,26.9,1,45,1113.55,28.68031681,10.76623436,8.271881423,3150.405115,2010,4,130.2013525
62,27.6,2,56,1105.2075,38.92223423,21.36377811,16.29328144,1085.804815,2010,3,303.2425317
62,22.1,1,90,1160.305,24.49466343,21.09103594,14.97090138,701.1093703,2010,4,180.0869461
62,26.9,1,23,1113.55,4.157313263,13.24336261,9.780375379,301.8049291,2010,3,21.52897833
62.1,22.3,1,119,1121.89,17.00690432,21.63351666,15.27571331,462.6804422,2010,4,127.1393892
62.1,23.2,1,27,1085.305,21.08571245,7.058674067,6.027802982,5388.304626,2010,3,75.85656206
62.1,23.2,1,73,1085.305,32.07280274,13.96099745,10.30412319,2095.145249,2010,4,173.2430632
62.1,23.2,1,29,1085.305,1.576827544,7.157592256,6.056078946,391.8865943,2010,5,5.690695326
62.1,30.4,2,27,1128.6525,23.98710892,15.18298379,11.99625614,1324.871534,2010,3,143.4555668
62.1,30.4,4,19,1128.6525,15.67300475,7.75287441,7.731588162,3319.990845,2010,2,60.74221047
62.1,30.1,1,57,1133.5975,7.577269901,8.832695968,7.063436724,1236.620131,2010,5,30.52835275
62.1,30.1,2,44,1133.5975,28.10020329,25.02082371,18.89169275,571.5001839,2010,2,248.7937371
62.1,30.1,1,51,1133.5975,5.364762193,13.08650531,9.705614936,398.8533306,2010,5,27.61428539
62.1,30.4,2,20,1128.6525,8.694195761,10.6398155,8.893654582,977.8479704,2010,2,40.48111857
